Id,Label,d0,modularity_class,Weighted Degree
"mayonnaise ","mayonnaise ",ingredient,4,1060
"cranberry ","cranberry ",ingredient,4,386
"bean red kidney ","bean red kidney ",ingredient,4,54
"quinoa ","quinoa ",ingredient,2,62
"cherry tomato ","cherry tomato ",ingredient,3,377
"bas ","bas ",ingredient,1,94
"chervil ","chervil ",ingredient,4,78
"parsnip ","parsnip ",ingredient,4,101
"agave ","agave ",ingredient,2,19
"artichoke ","artichoke ",ingredient,3,286
"kale ","kale ",ingredient,3,143
"sherry ","sherry ",ingredient,1,395
"pea black eyed ","pea black eyed ",ingredient,4,78
"phyllo ","phyllo ",ingredient,3,140
"caper ","caper ",ingredient,3,475
"tuna ","tuna ",ingredient,1,120
"cooking spray ","cooking spray ",ingredient,4,406
"pear ","pear ",ingredient,4,265
"peach ","peach ",ingredient,4,251
"bread whole wheat ","bread whole wheat ",ingredient,4,60
"red chili ","red chili ",ingredient,0,110
"millet ","millet ",ingredient,0,12
"italian seasoning ","italian seasoning ",ingredient,3,200
"scallop ","scallop ",ingredient,4,260
"pork ","pork ",ingredient,1,1346
"wonton wrapper ","wonton wrapper ",ingredient,1,66
"wine ","wine ",ingredient,1,241
"shrimp ","shrimp ",ingredient,1,1219
"fish ","fish ",ingredient,1,681
"soy bean ","soy bean ",ingredient,1,11
"sake ","sake ",ingredient,1,104
"miso ","miso ",ingredient,1,91
"bamboo shoot ","bamboo shoot ",ingredient,1,48
paste  tomato,paste  tomato,ingredient,1,272
"oyster ","oyster ",ingredient,1,279
"milk condensed ","milk condensed ",ingredient,2,190
"bun ","bun ",ingredient,4,38
"milk evaporated ","milk evaporated ",ingredient,4,207
"hoisin sauce ","hoisin sauce ",ingredient,1,141
"daikon ","daikon ",ingredient,1,61
"tapioca ","tapioca ",ingredient,1,55
"chive ","chive ",ingredient,4,740
"anise star ","anise star ",ingredient,1,178
"salad dressing ","salad dressing ",ingredient,4,165
"fettuccine ","fettuccine ",ingredient,3,95
"scallion ","scallion ",ingredient,1,1213
"salad ","salad ",ingredient,4,141
"corn flour ","corn flour ",ingredient,2,43
oriental  wheat,oriental  wheat,ingredient,1,5
"ice ","ice ",ingredient,4,466
"lard ","lard ",ingredient,2,79
"lychee ","lychee ",ingredient,4,14
"barley ","barley ",ingredient,4,62
"bean red ","bean red ",ingredient,1,32
"chinese five spice ","chinese five spice ",ingredient,1,76
"cocktail ","cocktail ",ingredient,4,57
"meat ","meat ",ingredient,4,95
"gin ","gin ",ingredient,4,47
"tangerine ","tangerine ",ingredient,4,46
"molass ","molass ",ingredient,4,306
"crabmeat ","crabmeat ",ingredient,4,269
"soy milk ","soy milk ",ingredient,1,24
"pudding ","pudding ",ingredient,4,81
"red chily ","red chily ",ingredient,1,21
"green chily ","green chily ",ingredient,2,104
"horseradish ","horseradish ",ingredient,4,259
"ketchup ","ketchup ",ingredient,4,516
"duck ","duck ",ingredient,4,145
"sirloin ","sirloin ",ingredient,4,235
"ham ","ham ",ingredient,4,473
"spaghetti ","spaghetti ",ingredient,3,367
"chestnut ","chestnut ",ingredient,4,79
"plum ","plum ",ingredient,4,78
"sweet corn ","sweet corn ",ingredient,2,53
"tortilla ","tortilla ",ingredient,2,884
"barbeque sauce ","barbeque sauce ",ingredient,4,83
"pancake ","pancake ",ingredient,4,20
"pork fat ","pork fat ",ingredient,4,61
"lobster ","lobster ",ingredient,4,220
"clam ","clam ",ingredient,3,341
kaffir beer,kaffir beer,ingredient,1,78
"poultry seasoning ","poultry seasoning ",ingredient,4,83
"sage ","sage ",ingredient,4,519
"pizza ","pizza ",ingredient,3,220
"cashew nut ","cashew nut ",ingredient,0,19
"bread pita ","bread pita ",ingredient,0,117
"hamburger ","hamburger ",ingredient,4,116
"mussel ","mussel ",ingredient,3,177
"monkfish ","monkfish ",ingredient,3,17
"flaxseed ","flaxseed ",ingredient,4,9
"hot sauce ","hot sauce ",ingredient,4,455
"mushroom oyster ","mushroom oyster ",ingredient,4,45
"grapefruit ","grapefruit ",ingredient,4,96
"arrowroot ","arrowroot ",ingredient,4,19
"tea black ","tea black ",ingredient,0,29
"cocoa powder ","cocoa powder ",ingredient,4,437
"coleslaw ","coleslaw ",ingredient,4,34
"macadamia nut ","macadamia nut ",ingredient,4,73
"snapper ","snapper ",ingredient,2,132
"tarragon ","tarragon ",ingredient,4,430
"quince ","quince ",ingredient,3,23
"bean lima ","bean lima ",ingredient,4,55
"wasabi ","wasabi ",ingredient,1,63
"currant ","currant ",ingredient,4,151
"taco ","taco ",ingredient,2,267
"sultana ","sultana ",ingredient,0,14
"bulgur ","bulgur ",ingredient,0,57
"popcorn ","popcorn ",ingredient,4,33
"rabbit ","rabbit ",ingredient,3,25
"marjoram ","marjoram ",ingredient,3,169
"goat milk ","goat milk ",ingredient,0,4
"dressing ranch ","dressing ranch ",ingredient,2,70
"chard ","chard ",ingredient,3,93
"pastry ","pastry ",ingredient,4,217
